# Intel(R) Xeon(R) CPU E5-2690 v3 @ 2.60GHz
# icpc 15.0.0.090
# 1 iteration

"naive" "impl. 10"
#nCores    nBodies    time (ms)    Gflop/s    speedup
#------    -------    ---------    -------    -------
      1      50000      27893.3    1.50246       1.00
      2      50000      14087.5    2.97396       1.98
      3      50000       9926.4    4.22062       2.81
      4      50000       7478.0    5.60246       3.73
      5      50000       5960.1    7.02936       4.68
      6      50000       4998.7    8.38116       5.58
      7      50000       4344.7    9.64284       6.42
      8      50000       3759.2   11.14484       7.42
      9      50000       3336.5   12.55672       8.36
     10      50000       2992.8   13.99864       9.32
     11      50000       2742.7   15.27534      10.17
     12      50000       2494.9   16.79236      11.18


"fine tuned" "impl. 13"
#nCores    nBodies    time (ms)    Gflop/s    speedup
#------    -------    ---------    -------    -------
      1      50000       1253.0    37.1629       1.00
      2      50000        634.2    73.4189       1.98
      3      50000        445.9   104.4130       2.81
      4      50000        335.9   138.5890       3.73
      5      50000        267.9   173.7760       4.68
      6      50000        224.6   207.2830       5.58
      7      50000        195.3   238.3890       6.42
      8      50000        168.9   275.6420       7.42
      9      50000        149.9   310.5350       8.36
     10      50000        134.4   346.2440       9.32
     11      50000        123.2   377.6700      10.17
     12      50000        112.2   414.6690      11.18


"fine tuned" "impl. 13"
#nCores    nBodies    time (ms)    Gflop/s    speedup
#------    -------    ---------    -------    -------
      1     100000      5010.73    37.1728       1.00
      2     100000      2499.03    74.5339       2.00
      3     100000      1724.29   108.0230       2.91
      4     100000      1291.48   144.2240       3.88
      5     100000      1049.68   177.4460       4.77
      6     100000       884.18   210.6610       5.67
      7     100000       761.43   244.6220       6.58
      8     100000       662.35   281.1860       7.57
      9     100000       596.16   312.4380       8.40
     10     100000       534.66   348.3780       9.37
     11     100000       484.02   384.8280      10.35
     12     100000       444.24   419.2860      11.28
     13     100000       411.17   453.0040      12.19
     14     100000       382.43   487.0450      13.10
     15     100000       357.31   521.3100      14.02
     16     100000       332.89   559.5390      15.05
     17     100000       314.25   592.7170      15.94
     18     100000       297.28   626.5560      16.86
     19     100000       281.75   661.0970      17.78
     20     100000       268.02   694.9530      18.70
     21     100000       256.10   727.3100      19.57
     22     100000       247.60   752.2820      20.24
     23     100000       233.94   796.2090      21.42
     24     100000       216.07   862.0680      23.20
#    24     100000       223.56   833.1740      22.41
#    48     100000       216.07   862.0680      23.20
